full_name,age,birthday,birthday_GMT,league,season,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
AFC Bournemouth,1980-02-20
AFC Bournemouth,1982-10-07
AFC Bournemouth,1985-02-16
AFC Bournemouth,1986-08-20
AFC Bournemouth,1986-09-07
AFC Bournemouth,1987-04-02
AFC Bournemouth,1987-06-20
AFC Bournemouth,1989-11-26
AFC Bournemouth,1990-02-01
AFC Bournemouth,1991-04-05
AFC Bournemouth,1991-04-19
AFC Bournemouth,1991-04-29
AFC Bournemouth,1992-01-15
AFC Bournemouth,1992-02-27
AFC Bournemouth,1993-02-23
AFC Bournemouth,1993-03-13
AFC Bournemouth,1994-02-24
AFC Bournemouth,1994-10-25
AFC Bournemouth,1995-02-18
AFC Bournemouth,1995-12-08
AFC Bournemouth,1996-02-08
AFC Bournemouth,1996-04-09
AFC Bournemouth,1996-12-18
AFC Bournemouth,1997-02-03
AFC Bournemouth,1997-05-14
AFC Bournemouth,1997-07-08
AFC Bournemouth,1997-09-14
AFC Bournemouth,1997-11-05
AFC Bournemouth,1998-07-28
AFC Bournemouth,1999-05-18
AFC Bournemouth,1999-08-28
AFC Bournemouth,1999-11-07
Arsenal,1970-01-01
Arsenal,1982-05-20
Arsenal,1984-01-16
Arsenal,1985-09-10
Arsenal,1986-02-26
Arsenal,1988-06-09
Arsenal,1988-10-15
Arsenal,1989-01-21
Arsenal,1989-06-18
Arsenal,1990-11-26
Arsenal,1990-12-26
Arsenal,1991-05-28
Arsenal,1992-02-08
Arsenal,1992-03-04
Arsenal,1992-04-17
Arsenal,1992-07-11
Arsenal,1992-09-02
Arsenal,1992-09-27
Arsenal,1993-06-20
Arsenal,1994-01-06
Arsenal,1995-03-19
Arsenal,1995-09-20
Arsenal,1996-02-11
Arsenal,1996-05-03
Arsenal,1997-08-29
Arsenal,1997-12-11
Arsenal,1999-04-14
Arsenal,1999-05-30
Arsenal,1999-08-20
Arsenal,2000-07-07
Arsenal,2000-07-28
Brighton & Hove Albion,1980-10-01
Brighton & Hove Albion,1983-09-25
Brighton & Hove Albion,1987-04-16
Brighton & Hove Albion,1988-04-25
Brighton & Hove Albion,1988-05-02
Brighton & Hove Albion,1988-06-28
Brighton & Hove Albion,1989-02-27
Brighton & Hove Albion,1989-06-12
Brighton & Hove Albion,1990-08-18
Brighton & Hove Albion,1991-04-14
Brighton & Hove Albion,1991-06-15
Brighton & Hove Albion,1991-09-02
Brighton & Hove Albion,1991-11-20
Brighton & Hove Albion,1991-11-21
Brighton & Hove Albion,1992-01-01
Brighton & Hove Albion,1992-04-08
Brighton & Hove Albion,1992-05-09
Brighton & Hove Albion,1992-07-07
Brighton & Hove Albion,1993-04-11
Brighton & Hove Albion,1993-08-11
Brighton & Hove Albion,1993-11-07
Brighton & Hove Albion,1994-07-20
Brighton & Hove Albion,1995-05-14
Brighton & Hove Albion,1996-08-30
Brighton & Hove Albion,1997-10-08
Brighton & Hove Albion,1998-06-04
Brighton & Hove Albion,1999-01-04
Brighton & Hove Albion,1999-08-06
Burnley,1981-01-30
Burnley,1983-09-20
Burnley,1985-06-28
Burnley,1985-08-20
Burnley,1986-04-15
Burnley,1987-04-16
Burnley,1987-04-19
Burnley,1988-04-15
Burnley,1989-06-09
Burnley,1989-06-25
Burnley,1989-09-21
Burnley,1989-10-21
Burnley,1989-10-30
Burnley,1990-04-01
Burnley,1990-08-18
Burnley,1990-10-27
Burnley,1991-12-07
Burnley,1992-01-14
Burnley,1992-01-31
Burnley,1992-05-01
Burnley,1992-11-19
Burnley,1993-01-15
Burnley,1993-09-18
Burnley,1999-11-22
Burnley,1999-11-26
Burnley,1999-12-05
Burnley,2000-08-22
Cardiff City,1983-05-07
Cardiff City,1985-01-13
Cardiff City,1986-12-11
Cardiff City,1987-09-24
Cardiff City,1988-07-16
Cardiff City,1989-04-22
Cardiff City,1989-12-28
Cardiff City,1990-02-07
Cardiff City,1990-03-05
Cardiff City,1990-03-28
Cardiff City,1990-04-18
Cardiff City,1990-06-05
Cardiff City,1990-08-24
Cardiff City,1990-12-09
Cardiff City,1991-01-08
Cardiff City,1991-01-08
Cardiff City,1991-01-31
Cardiff City,1991-04-12
Cardiff City,1991-08-21
Cardiff City,1992-04-15
Cardiff City,1993-02-02
Cardiff City,1993-06-08
Cardiff City,1993-10-13
Cardiff City,1994-01-31
Cardiff City,1994-05-28
Cardiff City,1994-10-13
Cardiff City,1994-12-06
Cardiff City,1995-02-24
Chelsea,1981-09-28
Chelsea,1985-12-19
Chelsea,1986-09-30
Chelsea,1987-04-22
Chelsea,1987-05-04
Chelsea,1987-07-28
Chelsea,1987-12-10
Chelsea,1988-08-09
Chelsea,1989-08-28
Chelsea,1990-03-05
Chelsea,1990-12-12
Chelsea,1990-12-28
Chelsea,1991-01-07
Chelsea,1991-03-29
Chelsea,1991-12-20
Chelsea,1992-06-11
Chelsea,1992-10-23
Chelsea,1993-03-03
Chelsea,1993-12-05
Chelsea,1994-05-06
Chelsea,1994-08-03
Chelsea,1994-10-03
Chelsea,1996-01-23
Chelsea,1996-04-10
Chelsea,2000-07-13
Chelsea,2000-09-14
Chelsea,2000-11-07
Crystal Palace,1979-05-18
Crystal Palace,1987-01-10
Crystal Palace,1987-01-24
Crystal Palace,1987-02-14
Crystal Palace,1987-10-07
Crystal Palace,1988-04-26
Crystal Palace,1989-03-29
Crystal Palace,1989-10-29
Crystal Palace,1989-12-21
Crystal Palace,1990-02-13
Crystal Palace,1990-04-27
Crystal Palace,1990-06-06
Crystal Palace,1990-08-29
Crystal Palace,1990-12-03
Crystal Palace,1991-04-07
Crystal Palace,1991-07-16
Crystal Palace,1991-09-11
Crystal Palace,1992-11-10
Crystal Palace,1992-12-23
Crystal Palace,1993-03-31
Crystal Palace,1993-10-02
Crystal Palace,1995-08-26
Crystal Palace,1995-09-18
Crystal Palace,1995-12-05
Crystal Palace,1996-09-09
Crystal Palace,1997-11-15
Crystal Palace,1997-11-26
Crystal Palace,1998-09-11
Crystal Palace,1998-11-27
Crystal Palace,1999-01-17
Everton,1982-08-17
Everton,1982-09-22
Everton,1984-12-11
Everton,1988-10-11
Everton,1989-03-16
Everton,1989-09-08
Everton,1989-09-26
Everton,1989-11-08
Everton,1990-11-12
Everton,1991-06-07
Everton,1992-09-08
Everton,1993-01-11
Everton,1993-07-20
Everton,1993-07-30
Everton,1994-03-07
Everton,1994-05-27
Everton,1994-09-23
Everton,1994-10-27
Everton,1995-07-09
Everton,1996-10-22
Everton,1997-03-15
Everton,1997-03-16
Everton,1997-05-10
Everton,1997-10-10
Everton,1997-10-20
Everton,1998-06-30
Fulham,1970-01-01
Fulham,1986-12-19
Fulham,1987-10-05
Fulham,1987-12-31
Fulham,1988-05-27
Fulham,1988-11-04
Fulham,1988-12-15
Fulham,1989-10-11
Fulham,1990-06-21
Fulham,1990-11-06
Fulham,1991-01-08
Fulham,1991-01-20
Fulham,1991-07-19
Fulham,1992-03-10
Fulham,1992-05-24
Fulham,1992-09-30
Fulham,1993-09-01
Fulham,1993-09-17
Fulham,1993-12-05
Fulham,1994-01-19
Fulham,1994-02-28
Fulham,1994-03-02
Fulham,1994-09-16
Fulham,1995-01-20
Fulham,1995-03-07
Fulham,1995-11-16
Fulham,1998-01-02
Fulham,1998-05-23
Fulham,2000-05-18
Fulham,2000-05-18
Huddersfield Town,1986-06-26
Huddersfield Town,1987-11-20
Huddersfield Town,1988-12-06
Huddersfield Town,1988-12-07
Huddersfield Town,1989-02-01
Huddersfield Town,1989-03-08
Huddersfield Town,1989-04-16
Huddersfield Town,1990-04-23
Huddersfield Town,1990-04-29
Huddersfield Town,1990-09-15
Huddersfield Town,1991-06-04
Huddersfield Town,1991-06-18
Huddersfield Town,1992-04-14
Huddersfield Town,1992-04-22
Huddersfield Town,1992-05-12
Huddersfield Town,1993-05-03
Huddersfield Town,1994-02-14
Huddersfield Town,1994-07-31
